ride_id,user_id,start_station,start_ts,weekday,is_weekend,is_holiday,month,planned_duration_min,weather,temp_bucket,wind_bucket,event_nearby,station_congestion_base,network_congestion_index,user_tardiness_propensity,late_return
R00001,U1799,S2,2024-03-16 13:19:00,5,1,0,3,15,sun,mild,breezy,0,0.238,1.0,0.175,0
R00002,U2760,S4,2024-06-18 09:48:00,1,0,0,6,33,sun,warm,calm,0,0.106,0.967,0.108,0
R00003,U1434,S1,2024-06-15 08:39:00,5,1,0,6,23,sun,warm,calm,0,0.818,1.0,0.171,0
R00004,U1241,S4,2024-04-29 16:53:00,0,0,0,4,28,rain,mild,windy,0,0.106,1.0,0.048,0
R00005,U2356,S2,2024-04-14 19:43:00,6,1,0,4,36,rain,warm,calm,0,0.238,1.0,0.104,1
R00006,U2012,S1,2024-06-22 13:32:00,5,1,0,6,17,sun,warm,calm,1,0.818,0.987,0.029,1
R00007,U1359,S2,2024-04-19 23:58:00,4,0,0,4,23,clouds,mild,breezy,0,0.238,1.0,0.334,1
R00008,U1856,S4,2024-06-17 08:14:00,0,0,0,6,19,clouds,warm,calm,0,0.106,0.994,0.111,0
R00009,U2181,S2,2024-06-25 18:08:00,1,0,0,6,27,sun,warm,breezy,0,0.238,1.0,0.238,1
R00010,U2213,S1,2024-02-05 16:10:00,0,0,0,2,27,rain,cold,calm,0,0.818,1.0,0.045,1
R00011,U2508,S4,2024-04-28 19:36:00,6,1,0,4,25,rain,cold,calm,0,0.106,1.0,0.013,1
R00012,U2538,S1,2024-05-11 19:43:00,5,1,0,5,53,rain,mild,breezy,0,0.818,1.0,0.009,1
R00013,U2017,S1,2024-05-27 08:42:00,0,0,0,5,35,sun,cold,calm,0,0.818,0.986,0.184,0
R00014,U2268,S1,2024-03-03 19:12:00,6,1,0,3,16,sun,warm,calm,0,0.818,1.0,0.155,0
R00015,U2264,S4,2024-06-04 17:43:00,1,0,0,6,29,rain,mild,calm,0,0.106,1.0,0.134,1
R00016,U1912,S2,2024-03-28 18:30:00,3,0,0,3,15,clouds,mild,calm,0,0.238,1.0,0.08,1
R00017,U2122,S1,2024-03-10 08:59:00,6,1,0,3,32,wind,mild,calm,0,0.818,1.0,0.091,1
R00018,U1196,S1,2024-01-29 19:51:00,0,0,0,1,18,rain,cold,breezy,0,0.818,1.0,0.069,0
R00019,U2288,S3,2024-02-27 13:07:00,1,0,0,2,21,rain,cold,breezy,0,0.178,0.989,0.093,1
R00020,U2652,S1,2024-06-24 18:45:00,0,0,0,6,30,clouds,warm,calm,0,0.818,1.0,0.016,0
R00021,U1001,S1,2024-05-08 18:06:00,2,0,0,5,16,rain,mild,calm,0,0.818,1.0,0.02,1
R00022,U2390,S1,2024-05-10 09:00:00,4,0,0,5,35,rain,warm,windy,0,0.818,0.956,0.11,0
R00023,U1361,S2,2024-06-10 08:11:00,0,0,0,6,23,sun,mild,breezy,0,0.238,0.995,0.126,0
R00024,U2860,S1,2024-02-18 09:42:00,6,1,0,2,19,clouds,cold,calm,0,0.818,1.0,0.018,0
R00025,U2839,S4,2024-04-29 08:53:00,0,0,0,4,22,clouds,mild,windy,0,0.106,1.0,0.061,0
R00026,U1995,S2,2024-03-07 08:00:00,3,0,0,3,19,sun,mild,calm,0,0.238,1.0,0.046,0
R00027,U2100,S1,2024-06-01 07:58:00,5,1,0,6,19,sun,warm,calm,0,0.818,1.0,0.116,1
R00028,U1973,S2,2024-03-17 13:19:00,6,1,0,3,28,wind,mild,calm,0,0.238,1.0,0.101,0
R00029,U2422,S5,2024-06-02 18:16:00,6,1,0,6,55,sun,warm,breezy,0,0.0,1.0,0.067,1
R00030,U1157,S1,2024-05-14 20:22:00,1,0,0,5,35,sun,mild,breezy,0,0.818,1.0,0.354,0
R00031,U1758,S3,2024-05-18 12:02:00,5,1,0,5,21,clouds,mild,calm,0,0.178,1.0,0.023,0
R00032,U2206,S1,2024-06-15 09:28:00,5,1,0,6,22,sun,warm,calm,0,0.818,0.986,0.292,1
R00033,U2575,S1,2024-05-22 17:42:00,2,0,0,5,15,clouds,mild,breezy,0,0.818,0.963,0.196,1
R00034,U2466,S1,2024-02-27 12:39:00,1,0,0,2,25,sun,cold,breezy,0,0.818,1.0,0.101,0
R00035,U1089,S3,2024-04-03 08:42:00,2,0,0,4,23,rain,warm,calm,0,0.178,1.0,0.08,0
R00036,U1353,S1,2024-03-26 12:59:00,1,0,0,3,21,sun,mild,calm,0,0.818,1.0,0.038,1
R00037,U2345,S2,2024-01-12 21:31:00,4,0,0,1,34,rain,cold,calm,0,0.238,1.0,0.026,1
R00038,U2331,S4,2024-04-16 11:10:00,1,0,0,4,24,clouds,mild,calm,0,0.106,0.978,0.068,1
R00039,U1771,S1,2024-03-19 22:17:00,1,0,0,3,31,sun,mild,calm,0,0.818,1.0,0.072,1
R00040,U1175,S1,2024-03-11 08:40:00,0,0,0,3,33,clouds,mild,breezy,0,0.818,1.0,0.016,1
R00041,U2879,S1,2024-01-20 08:39:00,5,1,0,1,28,sun,cold,calm,0,0.818,1.0,0.096,1
R00042,U2295,S5,2024-03-31 08:10:00,6,1,0,3,30,sun,mild,calm,0,0.0,0.969,0.022,0
R00043,U2353,S2,2024-04-14 17:42:00,6,1,0,4,26,sun,mild,calm,0,0.238,0.982,0.26,1
R00044,U1664,S2,2024-01-20 19:19:00,5,1,0,1,38,rain,cold,windy,0,0.238,1.0,0.02,1
R00045,U1863,S3,2024-04-24 19:06:00,2,0,0,4,36,sun,mild,calm,0,0.178,1.0,0.106,0
R00046,U2161,S1,2024-01-31 23:48:00,2,0,0,1,20,sun,mild,breezy,0,0.818,1.0,0.106,1
R00047,U2554,S2,2024-01-27 18:18:00,5,1,0,1,46,wind,cold,calm,0,0.238,1.0,0.118,1
R00048,U1128,S3,2024-03-13 07:04:00,2,0,0,3,25,rain,mild,calm,0,0.178,1.0,0.114,0
R00049,U2114,S1,2024-03-11 18:57:00,0,0,0,3,28,sun,mild,calm,0,0.818,1.0,0.03,0
R00050,U1228,S2,2024-06-13 08:01:00,3,0,0,6,32,sun,warm,calm,0,0.238,0.975,0.212,0
R00051,U1319,S5,2024-01-13 18:12:00,5,1,0,1,41,sun,cold,calm,0,0.0,1.0,0.128,0
R00052,U2142,S2,2024-03-03 17:21:00,6,1,0,3,34,sun,mild,windy,0,0.238,1.0,0.132,1
R00053,U2909,S1,2024-05-12 10:33:00,6,1,0,5,30,sun,mild,windy,0,0.818,0.928,0.033,1
